gl_code,os_leaf_code,sap_mapping,gl_name,sap_description
10065,1521300,,Additions,
10075,1525300,,Depreciation beginning of the year,
1100,410010102,,Revenue Cargo DK Import,
1101,410010104,,Revenue Cargo DK Export,
1110,410010102,,Revenue Cargo EU (services) Im,
1111,410010104,,Revenue Cargo EU (service) Exp,
1120,410010102,,Revenue Cargo outside EU (C) I,
11200,1500140,,Costs beginning of the year,
1121,410010104,,Revenue Cargo outside EU (C) E,
1122,410010104,,Revenue Cargo outside EU Export,
1130,410030106,,Revenue X-ray (forwarders),
11300,1500140,,Additions,
1131,410030106,,Revenue X-ray (forwarders) EU (Service),
1140,410030106,,Revenue X-ray (airlines),
11400,1500140,,Disposals,
1142,410030106,,Revenue X-ray (airlines) (outside EU),
11450,1505104,,Depreciation beginning of the year,
1150,410010114,,Revenue Trucking DK,
11500,1505104,,Depreciation,
11550,1505104,,Depreciation on disposals,
1160,410010114,,Revenue Trucking EU,
1170,410010114,,Revenue Trucking outside EU,
1180,410030104,,Revenue Ramphandling,
1190,410030103,,Revenue Offlinehandling,
12200,1500200,,Costs beginning of the year,
12300,1500200,,Additions,
12450,1505200,,Depreciation beginning of the year,
12500,1505200,,Depreciation,
1300,410080103,,Revenue Rental,
13200,1500130,,Cost beginning of the year,
13300,1500130,,Additions,
13400,1500130,,Disposals,
13450,1505103,,Depreciation beginning of the year,
1349,410010113,,Revenue THC Import EU (service),
1350,410010113,,Revenue THC Import,
13500,1505103,,Depreciation,
1351,410010113,,Revenue THC Export,
1352,410010113,,Revenue THC Export EU (service),
13550,1505103,,Depreciation on disposals,
13610,1510200,,Cost beginning of the Year SLB,
13650,1515200,,Depreciation beginning of the year SLB,
13660,1515200,,Depreciation SLB,
13685,1910500,,Financial cost asset,
13686,1910500,,Financial cost depreciation,
13691,1510101,,Cost the beginning of the year,
13694,1515101,,Depreciatins beginning of the year,
13695,1515101,,Depreciations,
1370,410010113,,Revenue Pharma,
1371,410010113,,Revenue Pharma EU (service),
1400,410080104,,Revenue other,
1410,410010113,,Service Continuity,
14100,1300101,,Inventory,
1411,410010112,,Storage export + airlines,
1412,410010112,,Storage import,
1420,410070101,,Rebates,
1450,410010113,,CC Shipments,
1451,410010113,,CC Shipments,
1460,410010113,,CC Shipments,
1500,410080104,,K24/28 Revenue Exports FFH,
1510,410080104,,K24/28 Cross Docking,
15100,1200103,,Accounts receivables,
1511,410080104,,K24/28 WB Incentive crossdocking,
15125,1200604,,Revenue not yet invoiced,
15150,1200103,,Bad debts reserve,
1520,410080104,,K24/28 AVI,
15230,1200103,,Other receivables,
